Name,KO,EN
sample.status.sdkReady,"SDK 준비 완료","SDK ready"
sample.status.resumedSession,"이전 세션을 복구했습니다","Resumed previous session"
sample.status.signingIn,"로그인 중…","Signing in…"
sample.status.signingOut,"로그아웃 중…","Signing out…"
sample.status.creatingWallet,"지갑 생성 중…","Creating wallet…"
sample.status.loading,"불러오는 중…","Loading…"
sample.status.signing,"서명 중…","Signing…"
sample.status.sending,"전송 중…","Sending…"
sample.status.refreshing,"토큰 갱신 중…","Refreshing token…"
sample.status.openingWebkit,"Ramp 페이지 여는 중…","Opening Ramp page…"
sample.auth.failed,"로그인 실패: {message}","Login failed: {message}"
sample.auth.success,"로그인 완료","Logged in"
sample.auth.successWithWallet,"{userId} 로그인 완료 ({address})","Logged in as {userId} ({address})"
sample.auth.successNoWallet,"{userId} 로그인 완료 — 지갑이 없습니다","Logged in as {userId} — no wallet yet"
sample.common.signedOut,"로그아웃됨","Signed out"
sample.common.signOutFailed,"로그아웃 실패","Sign-out failed"
sample.common.userInfoOk,"{userId} / {email} / {type}","{userId} / {email} / {type}"
sample.common.userInfoFailed,"사용자 정보를 가져오지 못했습니다","Failed to fetch user info"
sample.wallet.createFailed,"지갑 생성 실패: {message}","Wallet creation failed: {message}"
sample.wallet.createSuccess,"지갑 생성 완료 ({address})","Wallet created ({address})"
sample.address.fetchFailed,"주소 조회 실패: {message}","Failed to fetch address: {message}"
sample.address.fetched,"현재 주소: {address}","Current address: {address}"
sample.address.listFailed,"주소 목록 조회 실패: {message}","Failed to list addresses: {message}"
sample.address.listOk,"지갑 {count}개 조회됨 (로그 확인)","Loaded {count} wallets (see log)"
sample.address.selectCancelled,"지갑 선택을 취소했습니다","Wallet selection cancelled"
sample.address.selected,"지갑 선택: {address}","Selected wallet: {address}"
sample.tx.noWallet,"먼저 지갑을 선택/생성해 주세요","Please select or create a wallet first"
sample.tx.invalidInput,"트랜잭션 입력이 올바르지 않습니다","Transaction input is invalid"
sample.tx.signFailed,"서명 실패: {message}","Sign failed: {message}"
sample.tx.signOk,"서명 완료 ({hash})","Signed ({hash})"
sample.tx.sendFailed,"전송 실패: {message}","Send failed: {message}"
sample.tx.sendOk,"전송 완료 ({hash})","Sent ({hash})"
sample.tx.nativeBalance,"네이티브 잔액: {amount}","Native balance: {amount}"
sample.token.invalidInput,"토큰 트랜잭션 입력이 올바르지 않습니다","Token input is invalid"
sample.token.encodingFailed,"ERC-20 calldata 인코딩 실패","Failed to encode ERC-20 calldata"
sample.token.balance,"토큰 잔액: {amount}","Token balance: {amount}"
sample.token.balanceFailed,"토큰 잔액 조회 실패: {message}","Failed to fetch token balance: {message}"
sample.token.sendOk,"토큰 전송 완료 ({hash})","Token sent ({hash})"
sample.token.sendFailed,"토큰 전송 실패: {message}","Token send failed: {message}"
sample.message.signOk,"메시지 서명 완료 ({sig})","Message signed ({sig})"
sample.message.signFailed,"메시지 서명 실패: {message}","Message sign failed: {message}"
sample.message.typedOk,"Typed-Data 서명 완료 ({sig})","Typed data signed ({sig})"
sample.message.typedFailed,"Typed-Data 서명 실패: {message}","Typed data sign failed: {message}"
sample.message.invalidTypedData,"Typed-Data JSON을 입력해 주세요","Please provide Typed Data JSON"
sample.session.expired,"세션이 만료되었습니다. 다시 로그인해 주세요","Session expired. Please sign in again"
sample.session.expiredNow,"액세스 토큰이 만료되었습니다","Access token expired"
sample.session.valid,"세션이 유효합니다","Session valid"
sample.session.refreshOk,"토큰이 갱신되었습니다","Token refreshed"
sample.session.refreshFailed,"토큰 갱신 실패: {message}","Token refresh failed: {message}"
sample.webkit.notReady,"Webkit SDK가 아직 초기화되지 않았습니다","Webkit SDK is not initialized yet"
sample.webkit.noUrl,"Webkit URL을 입력해 주세요","Please enter a Webkit URL"
sample.webkit.closed,"Webkit 페이지를 닫았습니다","Webkit page closed"
sample.webkit.failed,"Webkit 실패: {message}","Webkit failed: {message}"
sample.editor.deepLinkNoop,"에디터에서는 딥링크를 시뮬레이션해야 합니다","Deep links must be simulated in the editor"
sample.button.login,"로그인","Sign In"
sample.button.loginGoogle,"Google 로그인","Sign in with Google"
sample.button.loginApple,"Apple 로그인","Sign in with Apple"
sample.button.useWebkit,"Use Ramp","Use Ramp"
sample.button.createWallet,"지갑 생성","Create Wallet"
sample.button.getAddress,"주소 조회","Get Address"
sample.button.getAllAddresses,"전체 주소 조회","Get All Addresses"
sample.button.selectWallet,"지갑 선택","Select Wallet"
sample.button.getNativeBalance,"네이티브 잔액","Native Balance"
sample.button.signTx,"트랜잭션 서명","Sign Tx"
sample.button.sendTx,"트랜잭션 전송","Send Tx"
sample.button.getTokenBalance,"토큰 잔액","Token Balance"
sample.button.sendToken,"토큰 전송","Send Token"
sample.button.signPersonalMessage,"메시지 서명","Sign Message"
sample.button.signTypedData,"Typed Data 서명","Sign Typed Data"
sample.button.checkTokenExpiry,"토큰 만료 확인","Check Token Expiry"
sample.button.refreshToken,"토큰 갱신","Refresh Token"
sample.button.getUserInfo,"사용자 정보","Get User Info"
sample.button.signOut,"로그아웃","Sign Out"
sample.button.editorSimulateDeepLink,"딥링크 시뮬레이션","Simulate Deep Link"
sample.button.useCrossPay,"Use CROSS Pay","Use CROSS Pay"
sample.status.openingCrossPay,"CROSS Pay 여는 중…","Opening CROSS Pay…"
sample.crossPay.closed,"CROSS Pay 페이지를 닫았습니다","CROSS Pay page closed"
sample.crossPay.result,"CROSS Pay 결제 결과\n\n상태: {status}\nPayment ID: {paymentId}\nCheckout ID: {checkoutId}\n금액: {amount}\nProvider: {provider}\n주문 ID: {orderId}","CROSS Pay Payment Result\n\nStatus: {status}\nPayment ID: {paymentId}\nCheckout ID: {checkoutId}\nAmount: {amount}\nProvider: {provider}\nOrder ID: {orderId}"
sample.crossPay.failed,"CROSS Pay 실패: {message}","CROSS Pay failed: {message}"
sample.input.chainId,"체인 ID","Chain ID"
sample.input.from,"보내는 주소","From"
sample.input.to,"받는 주소","To"
sample.input.value,"금액 (예: 1 = 1 CROSS)","Value (decimal, e.g. 1 = 1 CROSS)"
sample.input.data,"데이터 (hex)","Data (hex)"
sample.input.tokenContract,"토큰 컨트랙트","Token Contract"
sample.input.tokenTo,"토큰 받는 주소","Token Recipient"
sample.input.tokenAmount,"토큰 수량 (10진수)","Token Amount (decimal)"
sample.input.tokenDecimals,"토큰 소수점 자리수","Token Decimals"
sample.input.signMessage,"서명할 메시지","Message to Sign"
sample.input.signTypedData,"EIP-712 타입 데이터 (JSON)","EIP-712 Typed Data (JSON)"
sample.input.webkitUrl,"웹킷 URL","Webkit URL"
